image_filename,bcs_1,bcs_2,bcs_mean,local_path,cow_id
700_4_11_10_298_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\700_4_11_10_298_cow.jpg,700
700_4_11_10_300_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\700_4_11_10_300_cow.jpg,700
128_4_4_10_132_cow.jpg,4.25,4.25,4.25,BCS_dataset/images\128_4_4_10_132_cow.jpg,128
128_4_6_10_85_cow.jpg,4.25,4.25,4.25,BCS_dataset/images\128_4_6_10_85_cow.jpg,128
132_4_14_10_501_cow.jpg,4.5,4.5,4.5,BCS_dataset/images\132_4_14_10_501_cow.jpg,132
132_4_14_10_505_cow.jpg,4.5,4.5,4.5,BCS_dataset/images\132_4_14_10_505_cow.jpg,132
132_4_5_10_64_cow.jpg,4.5,4.5,4.5,BCS_dataset/images\132_4_5_10_64_cow.jpg,132
56_4_10_10_106_cow.jpg,2.75,2.75,2.75,BCS_dataset/images\56_4_10_10_106_cow.jpg,56
39_4_10_10_108_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\39_4_10_10_108_cow.jpg,39
736_4_10_21_49_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\736_4_10_21_49_cow.jpg,736
128_4_14_12_108_cow.jpg,4.25,4.25,4.25,BCS_dataset/images\128_4_14_12_108_cow.jpg,128
128_4_14_12_110_cow.jpg,4.25,4.25,4.25,BCS_dataset/images\128_4_14_12_110_cow.jpg,128
128_4_14_12_112_cow.jpg,4.25,4.25,4.25,BCS_dataset/images\128_4_14_12_112_cow.jpg,128
128_4_5_23_10_cow.jpg,4.25,4.25,4.25,BCS_dataset/images\128_4_5_23_10_cow.jpg,128
736_4_5_22_162_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\736_4_5_22_162_cow.jpg,736
32_4_10_11_39_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\32_4_10_11_39_cow.jpg,32
32_4_10_11_43_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\32_4_10_11_43_cow.jpg,32
32_4_15_13_100_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\32_4_15_13_100_cow.jpg,32
32_4_15_13_102_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\32_4_15_13_102_cow.jpg,32
37_4_5_20_221_cow.jpg,3.25,3.0,3.12,BCS_dataset/images\37_4_5_20_221_cow.jpg,37
37_4_5_20_223_cow.jpg,3.25,3.0,3.12,BCS_dataset/images\37_4_5_20_223_cow.jpg,37
38_4_10_13_37_cow.jpg,4.0,3.5,3.75,BCS_dataset/images\38_4_10_13_37_cow.jpg,38
40_4_15_12_401_cow.jpg,3.0,2.75,2.88,BCS_dataset/images\40_4_15_12_401_cow.jpg,40
40_4_15_12_403_cow.jpg,3.0,2.75,2.88,BCS_dataset/images\40_4_15_12_403_cow.jpg,40
696_4_7_21_278_cow.jpg,3.0,2.75,2.88,BCS_dataset/images\696_4_7_21_278_cow.jpg,696
40_4_9_21_246_cow.jpg,3.0,2.75,2.88,BCS_dataset/images\40_4_9_21_246_cow.jpg,40
