N,animal_id,BCS,data,frame,RGB_path,depth_path
12421,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.20.700.png,27.03.2025\1\depth\08.15.20.700.png
12422,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.20.811.png,27.03.2025\1\depth\08.15.20.811.png
12423,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.20.931.png,27.03.2025\1\depth\08.15.20.931.png
12424,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.21.056.png,27.03.2025\1\depth\08.15.21.056.png
12425,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.21.180.png,27.03.2025\1\depth\08.15.21.180.png
12426,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.21.297.png,27.03.2025\1\depth\08.15.21.297.png
12427,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.21.396.png,27.03.2025\1\depth\08.15.21.396.png
12428,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.21.498.png,27.03.2025\1\depth\08.15.21.498.png
12429,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.21.598.png,27.03.2025\1\depth\08.15.21.598.png
12430,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.21.710.png,27.03.2025\1\depth\08.15.21.710.png
12431,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.21.822.png,27.03.2025\1\depth\08.15.21.822.png
12432,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.21.929.png,27.03.2025\1\depth\08.15.21.929.png
12433,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.22.042.png,27.03.2025\1\depth\08.15.22.042.png
12434,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.22.154.png,27.03.2025\1\depth\08.15.22.154.png
12435,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.22.258.png,27.03.2025\1\depth\08.15.22.258.png
12436,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.22.374.png,27.03.2025\1\depth\08.15.22.374.png
12437,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.22.474.png,27.03.2025\1\depth\08.15.22.474.png
12438,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.22.578.png,27.03.2025\1\depth\08.15.22.578.png
12439,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.22.665.png,27.03.2025\1\depth\08.15.22.665.png
12440,611020,3.5,27.03.2025,1,27.03.2025\1\rgb\08.15.22.758.png,27.03.2025\1\depth\08.15.22.758.png
